,-72.07,-70.07,-68.11,-66.11,-64.10,-62.10,-60.07,-58.07,-56.00,-54.00,-51.89,-49.89,-47.75,-45.75,-43.58,-41.58,-39.36,-37.36,-35.12,-33.12,-30.83,-28.83,-26.52,-24.52,-22.17,-20.17,-17.79,-15.79,-13.38,-11.38,-8.94,-6.94,-4.48,-2.48,-0.00,2.00,4.50,6.50,9.02,11.02,13.55,15.55,18.09,20.09,22.63,24.63,27.17,29.17,31.71,33.71,36.25,38.25,40.77,42.77,45.28,47.28,49.77,51.77,54.24,56.24,58.69,60.69,63.12,65.12,67.51,69.51,71.88,73.88,76.21,78.21
14.00,-75.558,-72.458,-73.204,-71.532,-70.859,-68.357,-65.844,-63.586,-62.916,-60.942,-61.246,-59.669,-57.335,-56.382,-55.968,-55.967,-57.734,-58.764,-60.975,-62.910,-67.823,-74.479,-74.400,-71.548,-72.597,-74.825,-73.715,-75.226,-71.503,-71.271,-69.691,-68.187,-70.533,-72.954,-75.709,-75.118,-71.823,-71.847,-72.014,-77.080,-79.706,-79.710,-74.242,-71.413,-70.060,-71.022,-71.798,-74.314,-85.168,-83.985,-76.646,-76.619,-75.468,-77.341,-73.123,-75.626,-74.668,-73.463,-69.004,-69.072,-66.830,-67.355,-68.784,-70.097,-70.661,-71.367,-69.200,-72.024,-71.683,-71.914
12.00,-77.423,-73.683,-73.131,-70.775,-70.329,-67.911,-65.563,-62.986,-61.979,-59.608,-59.181,-57.637,-55.021,-54.222,-53.481,-53.526,-54.250,-54.663,-55.737,-57.768,-62.215,-68.014,-72.498,-69.438,-67.473,-67.706,-65.845,-68.321,-67.719,-67.043,-65.091,-64.014,-66.089,-68.076,-75.747,-75.648,-66.095,-66.559,-66.480,-69.406,-77.008,-77.833,-69.832,-67.038,-64.510,-64.788,-65.829,-69.363,-73.369,-79.729,-72.995,-71.953,-70.047,-71.016,-69.954,-72.093,-70.091,-71.450,-69.067,-68.900,-66.720,-67.273,-68.508,-70.874,-70.140,-71.720,-71.386,-71.510,-71.030,-71.732
10.00,-77.835,-74.267,-73.281,-70.828,-70.884,-67.956,-66.498,-63.651,-62.183,-59.998,-58.927,-57.774,-55.566,-55.217,-54.481,-54.156,-54.795,-54.934,-56.663,-58.697,-62.967,-66.479,-71.730,-72.399,-66.268,-66.603,-64.859,-68.138,-68.396,-67.812,-67.076,-65.043,-66.103,-67.362,-74.007,-71.075,-65.966,-66.694,-65.348,-68.061,-73.197,-72.951,-71.172,-67.522,-66.272,-66.332,-70.127,-71.513,-74.493,-77.153,-75.225,-74.625,-72.370,-71.553,-70.469,-71.737,-71.189,-74.382,-71.652,-71.570,-68.452,-69.119,-69.988,-72.213,-70.828,-72.027,-72.028,-71.737,-71.397,-71.383
8.00,-76.603,-74.847,-73.432,-72.505,-70.177,-68.993,-68.946,-67.208,-63.571,-62.144,-61.193,-61.067,-59.861,-60.352,-60.346,-60.611,-60.477,-62.082,-66.358,-71.098,-71.070,-72.746,-78.372,-80.278,-78.784,-77.896,-80.007,-84.662,-79.371,-82.488,-77.965,-76.376,-79.970,-84.150,-77.619,-78.598,-77.056,-73.778,-73.089,-72.030,-70.632,-72.637,-73.393,-73.351,-72.292,-78.129,-77.226,-78.256,-80.561,-81.348,-82.023,-85.597,-78.805,-78.042,-75.410,-74.512,-73.733,-71.540,-74.105,-75.523,-77.295,-75.565,-75.336,-74.444,-73.316,-72.465,-73.356,-72.347,-71.771,-71.561
6.00,-75.317,-79.475,-75.201,-70.884,-68.210,-65.409,-63.101,-59.889,-57.416,-55.271,-54.123,-52.801,-51.817,-50.916,-49.186,-49.002,-49.333,-49.679,-51.018,-52.805,-54.871,-58.740,-62.590,-67.307,-64.767,-61.684,-60.834,-61.395,-64.288,-65.390,-62.129,-62.118,-62.211,-64.665,-69.149,-68.362,-64.282,-62.498,-61.098,-61.435,-62.781,-65.780,-69.121,-66.734,-63.687,-64.398,-64.073,-67.051,-68.918,-72.116,-68.286,-68.957,-66.012,-66.459,-65.946,-65.405,-63.732,-63.215,-63.189,-63.233,-63.668,-63.360,-65.795,-66.809,-68.463,-69.556,-71.666,-72.230,-71.515,-71.913
4.00,-80.327,-85.555,-79.588,-74.835,-71.323,-68.887,-64.835,-62.198,-59.199,-56.863,-55.483,-54.219,-52.820,-52.317,-50.093,-50.289,-50.744,-51.424,-51.771,-53.355,-55.745,-59.817,-63.093,-67.178,-66.840,-63.182,-61.600,-63.132,-66.339,-68.472,-64.630,-63.318,-64.387,-65.427,-69.759,-68.317,-64.939,-63.318,-62.603,-63.810,-64.993,-66.664,-69.311,-69.164,-68.406,-68.470,-67.327,-69.312,-70.183,-74.129,-71.586,-76.105,-70.127,-73.369,-71.978,-71.602,-69.614,-69.332,-68.570,-69.100,-69.156,-69.460,-71.620,-72.152,-73.030,-75.555,-74.913,-76.044,-72.455,-72.147
2.00,-80.886,-80.373,-79.413,-79.419,-78.707,-78.698,-69.609,-69.720,-64.937,-63.766,-63.870,-64.366,-61.655,-62.424,-60.541,-61.861,-63.066,-62.725,-64.199,-65.838,-73.219,-74.310,-71.814,-69.963,-69.751,-71.431,-74.418,-75.631,-75.081,-66.730,-65.966,-64.022,-67.264,-66.748,-75.979,-81.653,-71.565,-70.209,-70.545,-73.382,-82.074,-72.901,-68.250,-66.824,-65.027,-65.875,-67.851,-70.891,-78.636,-73.922,-71.512,-67.968,-66.992,-66.307,-68.904,-70.629,-71.632,-70.949,-73.408,-75.336,-70.835,-72.342,-73.046,-76.270,-74.798,-77.240,-79.348,-79.972,-75.854,-73.109
0.00,-75.785,-75.013,-78.058,-79.118,-77.084,-74.160,-71.903,-68.598,-65.237,-62.293,-57.263,-54.928,-53.381,-51.765,-49.899,-49.002,-47.489,-47.545,-48.924,-50.097,-52.882,-57.232,-68.102,-60.715,-55.994,-55.167,-56.425,-57.566,-57.681,-55.651,-54.494,-54.004,-54.661,-57.770,-68.936,-63.643,-56.522,-54.459,-55.002,-56.930,-65.396,-75.133,-61.247,-58.220,-56.448,-56.523,-57.270,-59.839,-65.918,-69.132,-62.936,-60.224,-57.729,-57.915,-59.396,-60.755,-60.122,-60.580,-62.115,-62.499,-63.131,-64.338,-66.904,-68.000,-67.928,-69.741,-75.276,-78.050,-76.703,-75.588
-2.00,-62.213,-63.844,-62.810,-59.828,-56.813,-53.776,-50.598,-47.800,-45.227,-43.326,-40.549,-39.378,-38.849,-38.126,-37.158,-37.113,-37.207,-37.798,-38.687,-40.470,-43.679,-48.319,-54.188,-53.849,-50.444,-48.884,-48.841,-50.496,-52.729,-50.615,-47.636,-47.743,-49.152,-51.464,-60.127,-56.328,-50.345,-48.946,-47.430,-48.986,-55.771,-66.522,-55.742,-51.713,-49.214,-49.523,-49.852,-51.915,-56.488,-59.017,-55.731,-53.021,-51.295,-50.623,-49.356,-49.752,-51.248,-51.734,-52.893,-52.725,-51.613,-52.100,-54.316,-54.444,-54.755,-55.391,-55.836,-57.539,-57.082,-57.968
